Time (s);Gyroscope X (deg/s);Gyroscope Y (deg/s);Gyroscope Z (deg/s);Accelerometer X (g);Accelerometer Y (g);Accelerometer Z (g);Magnetometer X (uT);Magnetometer Y (uT);Magnetometer Z (uT);Barometer (hPa)
2,218089581;-1,086082;-0,5581449;-0,9656659;-0,9726807;0,1708901;-0,2680236;44,92247;11,21639;8,514853;1006,244
2,238345623;-1,209866;0,3917174;0,7465367;-0,9534981;0,2692662;-0,1646786;44,92247;11,21639;8,514853;1006,244
2,258601666;-1,395542;0,332351;3,00909;-0,9635156;0,198086;-0,1931697;45,67848;10,8433;9,324308;1006,244
2,278857708;-2,385814;0,5698166;6,005445;-0,9478745;0,1676578;-0,1478231;45,67848;10,8433;9,324308;1006,244
2,299112797;-2,26203;0,5698166;8,634898;-0,9440619;0,2605783;-0,14847;45,3012;10,8459;8,952552;1006,242
2,319368839;-0,8385138;0,5698166;9,42985;-0,9295399;0,3022022;-0,1501757;45,3012;10,8459;8,952552;1006,242
2,33962059;1,575275;-0,3206794;9,980201;-0,9429939;0,2929679;-0,1780709;45,3012;10,8459;8,952552;1006,24
2,359876156;2,998791;-0,6175113;11,38665;-0,9365684;0,255714;-0,1712458;45,64573;10,83791;8,058947;1006,24
2,380131722;2,008519;-0,4394122;14,13841;-0,9368355;0,1991084;-0,1568133;45,64573;10,83791;8,058947;1006,239
2,397855759;0,5850027;0,2729846;17,37936;-0,9346459;0,1995697;-0,176111;45,28918;9,739562;8,517699;1006,239
2,418111801;-0,5290537;0,5698166;20,68147;-0,9285486;0,2329462;-0,1917791;45,28918;9,739562;8,517699;1006,241
2,43836689;-0,7766218;0,332351;22,63827;-0,9208903;0,2924689;-0,1975881;45,28918;9,739562;8,517699;1006,241
2,458622933;-0,2195936;-0,1425802;23,55552;-0,9054198;0,3326389;-0,2012448;45,96251;9,056875;8,508207;1006,24
2,478878975;0,3374346;-0,5581449;23,24977;-0,8994892;0,4013778;-0,1891195;45,96251;9,056875;8,508207;1006,24
2,499134064;4,731768;4,428632;23,80012;-1,066466;0,06687992;0,1942381;45,98361;8,692221;9,333366;1006,238
2,519390106;-28,00911;10,24654;22,27137;-1,093386;0,4480595;-0,7423556;45,98361;8,692221;9,333366;1006,238
2,539641857;-13,52638;1,99461;14,62761;-0,8498911;0,4508167;-0,1429289;45,98361;8,692221;9,333366;1006,234
2,5598979;-1,64311;0,03551903;7,901097;-0,7611293;0,773176;-0,1351732;45,28828;7,960158;8,530625;1006,234
2,580153465;0,3993267;-3,585831;-8,792878;-0,781233;1,009052;-0,3723685;45,28828;7,960158;8,530625;1006,233
2,597877026;4,979336;-4,298228;-19,98335;-0,8880308;0,6431122;0,004766312;45,66484;6,546299;8,912634;1006,233
2,618133068;2,441763;-1,508007;-22,30705;-0,9024732;0,3164256;-0,003333179;45,66484;6,546299;8,912634;1006,234
2,638389111;1,018247;2,053977;-18,33229;-0,9290062;0,1339687;0,001083319;45,66484;6,546299;8,912634;1006,234
2,6586442;-0,5909457;5,437861;-8,915178;-0,9958616;-0,01912354;-0,1109266;45,29773;7,225468;8,915583;1006,237
2,678900242;0,8325708;4,428632;2,64219;-0,9736603;-0,1005824;-0,2449208;45,29773;7,225468;8,915583;1006,237
2,699156284;6,279068;1,044748;14,07726;-1,017257;0,01881556;-0,3460403;45,65573;7,955936;8,522774;1006,235
2,719411373;10,36394;-2,517236;25,63462;-1,044033;-0,05360873;-0,1979646;45,65573;7,955936;8,522774;1006,235
2,739663601;7,083665;-2,517236;38,41499;-0,9609519;0,06650235;-0,1505262;45,65573;7,955936;8,522774;1006,229
